NAME,CUI,VOCABULARY_SOURCE,DIAGNOSE,OCCURENCE
Anemia,C0002871,MTH,anemia,359
Iron deficiency anemia,C0162316,MTH,anemia,12
Aplastic Anemia,C0002874,MTH,anemia,0
"Anemia, Sickle Cell",C0002895,MTH,anemia,0
"Anemia, Hemolytic",C0002878,MSH,anemia,0
"Anemia, Pernicious",C0002892,MTH,anemia,0
Sideroblastic anemia,C0002896,MTH,anemia,0
"Anemia, Megaloblastic",C0002888,MSH,anemia,0
"Anemia, Macrocytic",C0002886,MTH,anemia,0
Fanconi Anemia,C0015625,MTH,anemia,0
"Anemia, Hemolytic, Congenital",C0002881,MSH,anemia,0
Cooley's anemia,C0002875,MTH,anemia,0
Hypoplastic anemia,C0178416,MTH,anemia,0
Autoimmune hemolytic anemia,C0002880,MTH,anemia,0
Hypochromic anemia,C0002884,MTH,anemia,0
Microcytic anemia,C5194182,SNOMEDCT_US,anemia,9
Leukoerythroblastic Anemia,C0002890,MTH,anemia,0
Megaloblastic anemia due to folate deficiency,C0151482,SNOMEDCT_US,anemia,0
Normocytic anemia,C0085577,MTH,anemia,86
"Anemia, Hemolytic, Acquired",C0002879,MSH,anemia,0
Anemia of chronic disease,C0002873,MTH,anemia,6
Congenital dyserythropoietic anemia,C0002876,MTH,anemia,0
Nutritional anemia,C0271903,SNOMEDCT_US,anemia,0
Megaloblastic Anemia 1,C4551825,MTH,anemia,0
Congenital anemia,C0158995,SNOMEDCT_US,anemia,0
"Anemia, Diamond-Blackfan",C1260899,MTH,anemia,0
Asiderotic anemia,C0008272,MTH,anemia,0
Refractory anemias,C0002893,MTH,anemia,0
Microangiopathic hemolytic anemia,C0221021,MTH,anemia,0
Chronic anemia,C0581384,SNOMEDCT_US,anemia,105
"Anemia, Neonatal",C0002891,MSH,anemia,0
Microcytic hypochromic anemia (disorder),C0271901,MTH,anemia,0
Iron deficiency anemia secondary to chronic blood loss,C0154286,MTH,anemia,0
Sports anemia,C0221022,SNOMEDCT_US,anemia,0
Constitutional aplastic anemia,C0702159,MTH,anemia,0
Glucose-6-phosphate dehydrogenase deficiency anemia,C0237987,MTH,anemia,0
Vitamin C deficiency anemia,C0272017,SNOMEDCT_US,anemia,0
Hereditary spherocytosis,C0037889,MTH,anemia,0
Achlorhydric anemia,C0271977,MTH,anemia,0
"Aplastic anemia, idiopathic",C0348890,MSH,anemia,0
Dimorphic anemia,C0392605,SNOMEDCT_US,anemia,0
Congenital hypoplastic anemia,C0949116,MTH,anemia,0
Vitamin B12 deficiency anemia,C2004521,MTH,anemia,0
X-linked sideroblastic anemia,C4551511,MTH,anemia,0
Anemia due to protein deficiency,C0154290,SNOMEDCT_US,anemia,0
Fetal anemia,C2349595,SNOMEDCT_US,anemia,0
Vegan's anemia,C0271959,SNOMEDCT_US,anemia,0
Acute posthaemorrhagic anaemia,C0154298,MTH,anemia,0
Mechanical hemolytic anemia,C1321858,MTH,anemia,0
Chicken anemia virus,C0206179,MTH,anemia,0
Warm autoimmune hemolytic anemia,C0272118,SNOMEDCT_US,anemia,0
Toxic hemolytic anemia,C0272094,SNOMEDCT_US,anemia,0
Relative anemia,C0271898,SNOMEDCT_US,anemia,3
Refractory anemia with sideroblasts,C0334679,MTH,anemia,0
Drug-induced hemolytic anemia,C0272132,MTH,anemia,0
Anemia of renal disease,C0472713,SNOMEDCT_US,anemia,0
Pure Red-Cell Aplasia,C0034902,MTH,anemia,0
Mycoplasmal anemia,C1720206,MTH,anemia,0
Refractory anaemia with excess blasts,C0002894,MTH,anemia,0
Refractory sideroblastic anemia,C4551661,MTH,anemia,0
Cold Hemagglutinin Disease,C0175816,MTH,anemia,0
Non-autoimmune hemolytic anemia,C0028283,SNOMEDCT_US,anemia,0
Secondary acquired sideroblastic anemia,C0272024,SNOMEDCT_US,anemia,0
Absolute anemia,C1510654,SNOMEDCT_US,anemia,0
Perinatal anemia,C0475724,SNOMEDCT_US,anemia,0
Dilutional anemia,C0472711,SNOMEDCT_US,anemia,0
Aplastic anemia due to drugs,C0271909,SNOMEDCT_US,anemia,0
Pyridoxine-responsive sideroblastic anemia,C0272027,SNOMEDCT_US,anemia,0
Normocytic normochromic anemia,C0271899,SNOMEDCT_US,anemia,4
Acquired aplastic anemia,C0271907,SNOMEDCT_US,anemia,0
Regenerative anemia,C1263989,SNOMEDCT_US,anemia,0
Aase syndrome,C0265265,MTH,anemia,0
Antibody-mediated anemia,C0272111,SNOMEDCT_US,anemia,0
Estren-Dameshek anemia,C0271906,SNOMEDCT_US,anemia,0
History of anemia,C0559154,SNOMEDCT_US,anemia,0
Hemoglobin SS disease with crisis,C0238425,MTH,anemia,0
Drug-induced autoimmune hemolytic anemia,C0391817,SNOMEDCT_US,anemia,0
von Jaksch's anemia,C0340972,MTH,anemia,0
Primaquine sensitivity anemia,C0235571,SNOMEDCT_US,anemia,0
Normocytic hypochromic anemia,C0271900,MTH,anemia,0
Anemia due to decreased red cell production,C0311364,SNOMEDCT_US,anemia,0
Refractory megaloblastic anemia,C0271974,SNOMEDCT_US,anemia,0
Idiopathic hypochromic anemia,C1306853,MTH,anemia,0
Donath-Landsteiner hemolytic anemia,C0272129,MTH,anemia,0
Aplastic anemia due to radiation,C0472734,SNOMEDCT_US,anemia,0
No anemia present,C5395759,SNOMEDCT_US,anemia,0
Megaloblastic anemia due to chronic hemolytic anemia,C0271949,SNOMEDCT_US,anemia,0
Chronic hemolytic anemia,C1387532,SNOMEDCT_US,anemia,0
Goats' milk anemia,C0271942,SNOMEDCT_US,anemia,0
"Refractory anemia, without ringed sideroblasts, without excess blasts",C2981142,MTH,anemia,0
Anemia in malignant neoplastic disease,C3839524,SNOMEDCT_US,anemia,0
Megaloblastic anemia due to inborn errors of metabolism,C1306856,MTH,anemia,0
Macrocytosis - no anemia,C0472701,SNOMEDCT_US,anemia,0
"Infectious Anemia Virus, Equine",C0014662,MSH,anemia,0
Microcytic normochromic anemia,C0271902,SNOMEDCT_US,anemia,0
Hemolytic anemia due to pyruvate kinase deficiency,C0272062,MTH,anemia,0
Thiamine responsive megaloblastic anemia syndrome,C0342287,MTH,anemia,0
"Anemia, Hemolytic, Congenital Nonspherocytic",C0002882,MSH,anemia,0
At risk for anemia,C3536601,SNOMEDCT_US,anemia,0
Coombs positive hemolytic anemia,C0520736,MTH,anemia,0
Folate deficiency anemia due to dietary causes,C0271937,SNOMEDCT_US,anemia,0
Anemia due to metabolic disorder,C4544997,SNOMEDCT_US,anemia,0
Iron deficiency without anemia,C0340950,MTH,anemia,0
Refractory anemia with excess blasts in transformation (clinical),C0280028,SNOMEDCT_US,anemia,0
Drug-induced sideroblastic anemia,C0272025,SNOMEDCT_US,anemia,0
Secondary aplastic anemia,C0271908,SNOMEDCT_US,anemia,0
Hemoglobin SC Disease,C0019034,MTH,anemia,0
Aplastic anemia due to infection,C0271912,SNOMEDCT_US,anemia,0
Thiamine-responsive megaloblastic anemia,C0271972,SNOMEDCT_US,anemia,0
Idiopathic Autoimmune Hemolytic Anemia,C0543663,MSH,anemia,0
Drug-induced enzyme deficiency anemia,C0272054,SNOMEDCT_US,anemia,0
Toxic aplastic anemia,C0271911,MTH,anemia,0
Intracorpuscular hemolytic anemia,C1260898,SNOMEDCT_US,anemia,0
Immunologic aplastic anemia,C0271917,SNOMEDCT_US,anemia,0
Acute megaloblastic anemia,C0271960,SNOMEDCT_US,anemia,0
Transient hypoplastic anemia,C0472733,SNOMEDCT_US,anemia,0
Idiopathic sideroblastic anemia,C0475708,SNOMEDCT_US,anemia,0
Combined deficiency anemia,C0472731,SNOMEDCT_US,anemia,0
Biermer's congenital pernicious anemia,C0472727,MTH,anemia,0
Acquired Heinz body anemia,C0272007,MTH,anemia,0
Dyserythropoietic Anemia with Thrombocytopenia,C1845837,MSH,anemia,0
Iron-Refractory Iron Deficiency Anemia,C0085576,MTH,anemia,0
History of hemolytic anemia,C0475689,SNOMEDCT_US,anemia,0
Constitutional aplastic anemia with malformation,C0340959,SNOMEDCT_US,anemia,0
Anemia of prematurity,C0158996,MTH,anemia,0
Megaloblastic anemia due to vitamin B>12< deficiency,C0815316,MTH,anemia,0
Secondary sideroblastic anemia due to disease,C0475532,SNOMEDCT_US,anemia,0
"Congenital dyserythropoietic anemia, type III",C0271934,MTH,anemia,0
"Congenital dyserythropoietic anemia, type I",C0271933,MTH,anemia,0
Anemia due to vitamin B>6< deficiency,C0272013,SNOMEDCT_US,anemia,0
