NAME,DIAGNOSE,TYPE
pain,class_1,seed
ache,class_1,seed
discomfort,class_1,seed
radiculopathy,class_1,seed
tightness,class_1,seed
dynia,class_1,seed
abdominal cris,class_1,seed
algia,class_1,seed
pressure,class_1,seed
dysuria,class_1,seed
headach,class_1,seed
cramp,class_1,seed
tendernes,class_1,seed
gastrit,class_2,seed
gastroenter,class_2,seed
emes,class_2,seed
diar,class_2,seed
naus,class_2,seed
hypernat,class_2,seed
vomit,class_2,seed
dehy,class_2,seed
red cell,class_3,seed
anem,class_3,seed
septic,class_4,seed
consolid,class_4,seed
candidemia,class_4,seed
pyrex,class_4,seed
fever,class_4,seed
agran,class_4,seed
pancy,class_4,seed
seps,class_4,seed
inflam,class_4,seed
pneumo,class_4,seed
neut,class_4,seed
febrile,class_4,seed
hypertherm,class_4,seed
radiat,class_1,clinician
stabbing,class_1,clinician
burning,class_1,clinician
splitting,class_1,clinician
dull,class_1,clinician
shooting,class_1,clinician
localize,class_1,clinician
migraine,class_1,clinician
noxious,class_1,clinician
knife-like,class_1,clinician
pounding,class_1,clinician
hyperasthesia,class_1,clinician
dyspareunia,class_1,clinician
tender,class_1,clinician
throbbing,class_1,clinician
sharp,class_1,clinician
agonizing,class_1,clinician
painful,class_1,clinician
radiating,class_1,clinician
pleurisy,class_1,clinician
hurts,class_1,clinician
radiates,class_1,clinician
aching,class_1,clinician
low back pain,class_1,clinician
excruciating,class_1,clinician
neuropathy,class_1,clinician
puke,class_2,clinician
thirst,class_2,clinician
hyponatremic,class_2,clinician
passsed out,class_2,clinician
tenesmus,class_2,clinician
light headed,class_2,clinician
enteritis,class_2,clinician
vomitted,class_2,clinician
puking,class_2,clinician
puked,class_2,clinician
loose stools,class_2,clinician
cracked lips,class_2,clinician
"non-bloody, non-bilious",class_2,clinician
gastro,class_2,clinician
bowel movement,class_2,clinician
hyponatremia,class_2,clinician
nauseated,class_2,clinician
loss of consciousness,class_2,clinician
vomitus,class_2,clinician
watery,class_2,clinician
mucousy,class_2,clinician
dry lips,class_2,clinician
bloody,class_2,clinician
gastroeneritis,class_2,clinician
stooling,class_2,clinician
loose,class_2,clinician
lose consciousness,class_2,clinician
stool,class_2,clinician
thirsty,class_2,clinician
weak,class_3,clinician
macrocytic,class_3,clinician
microcytic,class_3,clinician
pale,class_3,clinician
normocytic,class_3,clinician
iron deficiency,class_3,clinician
light headed,class_3,clinician
red blood cell,class_3,clinician
myelodysplastic,class_3,clinician
marrow,class_3,clinician
get out of bed,class_3,clinician
fatigue,class_3,clinician
dyspnea,class_3,clinician
elevated,class_4,clinician
urosepsis,class_4,clinician
neupogen,class_4,clinician
shortness of breath,class_4,clinician
pressors,class_4,clinician
productive cough,class_4,clinician
rectal,class_4,clinician
chest x-ray,class_4,clinician
body temperature,class_4,clinician
hypoxemia,class_4,clinician
shaking,class_4,clinician
infiltrate,class_4,clinician
consolidation,class_4,clinician
core,class_4,clinician
shock,class_4,clinician
pyrexia,class_4,clinician
dyspnea,class_4,clinician
hypoxia,class_4,clinician
oral,class_4,clinician
thermometer,class_4,clinician
low-grade,class_4,clinician
systemic inflammatory response,class_4,clinician
systemic organ failure assessment,class_4,clinician
antibiotics,class_4,clinician
rigor,class_4,clinician
vasopressors,class_4,clinician
lower respiratory tract infection,class_4,clinician
white blood cell,class_4,clinician
neulasta,class_4,clinician
quick systematic organ failure assessment,class_4,clinician
low white count,class_4,clinician
cough,class_4,clinician
streaking,class_4,clinician
oxygen,class_4,clinician
fever of unknown origin,class_4,clinician
systolic blood pressure,class_4,clinician
blood pressure,class_4,clinician
chills,class_4,clinician
mean arterial pressure,class_4,clinician
presumed source,class_4,clinician
pyrexia of unknown origin,class_4,clinician
high-grade,class_4,clinician
low count,class_4,clinician
