NAME,CUI,VOCABULARY_SOURCE,DIAGNOSE,OCCURENCE
Pain,C0030193,MTH,pain,2716
Chest Pain,C0008031,MTH,pain,804
Back Pain,C0004604,MTH,pain,413
Low Back Pain,C0024031,MTH,pain,103
Abdominal Pain,C0000737,MTH,pain,690
Headache,C0018681,MTH,pain,540
Neck Pain,C0007859,MTH,pain,110
Angina Pectoris,C0002962,MTH,pain,6
Eye pain,C0151827,MTH,pain,14
Chronic pain,C0150055,MTH,pain,105
Dysmenorrhea,C0013390,MTH,pain,1
Facial Pain,C0015468,MTH,pain,10
Epigastric pain,C0232493,MTH,pain,32
Myalgia,C0231528,MTH,pain,70
Arthralgia,C0003862,MTH,pain,46
Acute onset pain,C0184567,MTH,pain,0
Sore Throat,C0242429,MTH,pain,203
Pain management,C0002766,MTH,pain,199
Pain in limb,C0030196,MTH,pain,3
Bone pain,C0151825,MTH,pain,87
Pleuritic pain,C0008033,MTH,pain,12
Shoulder Pain,C0037011,MTH,pain,50
Flank Pain,C0016199,MTH,pain,120
Pain in lower limb,C0023222,MTH,pain,0
Jaw pain,C0236000,MTH,pain,36
Knee pain,C0231749,MTH,pain,51
Pain in scrotum,C0236078,MTH,pain,0
Hip joint pain,C0019559,MTH,pain,0
Precordial pain,C0232286,MTH,pain,0
Bladder pain,C0232849,MTH,pain,3
Foot pain,C0016512,MTH,pain,11
Rectal pain,C0034886,MTH,pain,39
"Pain, Postoperative",C0030201,MSH,pain,0
Inguinal pain,C0239783,SNOMEDCT_US,pain,3
Oral pain,C0221776,MTH,pain,28
Mastodynia,C0024902,MTH,pain,0
Abdominal colic,C0232488,MTH,pain,0
Anal pain,C0238637,MTH,pain,6
Mittelschmerz,C0152149,MTH,pain,0
Pain in wrist,C0221785,SNOMEDCT_US,pain,0
Pain in penis,C0497481,MTH,pain,0
Fibromyalgia,C0016053,MTH,pain,1
Vaginal pain,C0236082,MTH,pain,3
Ankle pain,C0238656,SNOMEDCT_US,pain,16
"Pain, Burning",C0234230,MTH,pain,19
Somatoform pain disorder,C0152174,SNOMEDCT_US,pain,0
Loin pain,C0235632,MTH,pain,0
Absence of pain sensation,C0344307,MTH,pain,0
Causalgia,C0007462,MSH,pain,0
Labor Pain,C0474368,MTH,pain,0
Prostatic pain,C0240812,MTH,pain,0
Renal pain,C0558489,MTH,pain,2
Pain in urethra,C0151830,MTH,pain,0
Stomach ache,C0221512,MTH,pain,5
Hand pain,C0239833,SNOMEDCT_US,pain,7
Liver pain,C0522067,MTH,pain,0
Musculoskeletal Pain,C0026858,MSH,pain,9
Absence of pain,C0234225,MTH,pain,0
Upper abdominal pain,C0232492,SNOMEDCT_US,pain,23
Pain in buttock,C0231710,MTH,pain,0
Rheumatism,C0035435,MTH,pain,0
Pain in elbow,C0239266,SNOMEDCT_US,pain,0
Vulvodynia,C0406670,MTH,pain,0
Perineal pain,C0240717,MTH,pain,0
Atypical facial pain,C0154729,MTH,pain,3
Chest pain on breathing,C0423729,SNOMEDCT_US,pain,0
Retrosternal pain,C0151826,SNOMEDCT_US,pain,0
Rib pain,C0574068,MTH,pain,15
Thigh pain,C0241374,SNOMEDCT_US,pain,11
Dull pain,C0278144,MTH,pain,4
Pain in finger,C0239589,SNOMEDCT_US,pain,0
Pain Threshold,C0162703,MSH,pain,0
Radiating pain,C0234254,MTH,pain,11
Shooting pain,C0278146,MTH,pain,9
Neuropathic pain,C3714625,MTH,pain,52
Generalized aches and pains,C0281856,MTH,pain,0
Periumbilical pain,C1096624,SNOMEDCT_US,pain,0
Pain in toe,C0241416,SNOMEDCT_US,pain,0
Lower abdominal pain,C0232495,SNOMEDCT_US,pain,31
Radicular pain,C0278147,SNOMEDCT_US,pain,3
"Pain, Referred",C0234250,MSH,pain,0
Phantom pain,C3495442,MTH,pain,0
Pain control,C1304888,MTH,pain,350
Pain in esophagus (finding),C0221727,MTH,pain,0
Sharp pain,C0455270,MTH,pain,13
Breakthrough Pain,C1135120,MSH,pain,67
Localized pain,C0520962,SNOMEDCT_US,pain,0
Heel pain,C0231780,SNOMEDCT_US,pain,2
Visceral Pain,C0234245,MSH,pain,0
Smarting pain,C0235048,MTH,pain,0
Arm Pain,C0239377,MTH,pain,36
Dull chest pain,C0232285,MTH,pain,2
Colicky Pain,C3888418,MTH,pain,0
Cardiac pain,C0423636,MTH,pain,0
Pain relief,C0451615,MTH,pain,49
Hand joint pain,C0423665,SNOMEDCT_US,pain,0
"Pain, Crushing",C0458259,MSH,pain,0
Biliary Colic,C0151824,MTH,pain,9
Reflex Sympathetic Dystrophy,C0034931,MTH,pain,0
Greater trochanteric pain syndrome,C0151451,SNOMEDCT_US,pain,0
Pain in axilla,C0577659,SNOMEDCT_US,pain,0
Throbbing pain,C0278148,SNOMEDCT_US,pain,10
Stabbing pain,C0278145,SNOMEDCT_US,pain,8
Abdominal wind pain,C0476289,SNOMEDCT_US,pain,0
Pelvic Pain,C0030794,MTH,pain,15
Tissue Pain,C0234244,MSH,pain,0
Pain in calf,C0236040,SNOMEDCT_US,pain,1
Ovarian pain,C0458109,SNOMEDCT_US,pain,0
Tenderness of gums,C0239739,MTH,pain,0
Pain around eye,C0234656,SNOMEDCT_US,pain,0
Hunger pain,C0581870,SNOMEDCT_US,pain,0
Severe pain,C0278140,MTH,pain,113
Mild pain,C0278138,MTH,pain,38
Inflammatory pain,C0234251,SNOMEDCT_US,pain,0
Neurogenic pain,C0423717,SNOMEDCT_US,pain,0
Cramping pain,C0458254,SNOMEDCT_US,pain,4
Scalding pain on urination,C0423736,SNOMEDCT_US,pain,0
Right upper quadrant pain,C0235299,SNOMEDCT_US,pain,13
Agnosia for Pain,C0563625,MTH,pain,0
Pancreatic pain,C0522071,SNOMEDCT_US,pain,0
Suprapubic pain,C0241310,SNOMEDCT_US,pain,7
Wound pain,C0241745,SNOMEDCT_US,pain,1
"Abdomen, Acute",C0000727,MTH,pain,0
Diffuse pain,C0520963,SNOMEDCT_US,pain,4
Clavicle pain,C0581323,SNOMEDCT_US,pain,0
Ache,C0234238,MTH,pain,907
Musculoskeletal chest pain,C0476280,MTH,pain,0
Pain in testicle,C0039591,MTH,pain,0
Central pain,C0234243,SNOMEDCT_US,pain,0
Pricking pain,C0423603,MTH,pain,0
Chronic pain syndrome,C1298685,SNOMEDCT_US,pain,5
Ureteric pain,C0235633,SNOMEDCT_US,pain,0
Pain character,C0423608,MTH,pain,2
"Pain, Splitting",C0458257,MSH,pain,0
Temporomandibular Joint Dysfunction Syndrome,C0039496,MTH,pain,0
Moderate pain,C0278139,MTH,pain,53
Excruciating pain,C0278141,MTH,pain,29
Thalamic pain,C0423718,SNOMEDCT_US,pain,0
Mechanical pain,C0234252,SNOMEDCT_US,pain,0
Night pain,C0234255,SNOMEDCT_US,pain,2
Generalized abdominal pain,C0344304,SNOMEDCT_US,pain,9
Complex Regional Pain Syndromes,C0458219,MTH,pain,0
Chest wall pain,C0008035,MTH,pain,11
Urinary Tract Pain,C0423701,MTH,pain,0
Gnawing pain,C0559222,SNOMEDCT_US,pain,0
Atypical chest pain,C0262384,SNOMEDCT_US,pain,5
Monitoring pain,C0513566,SNOMEDCT_US,pain,0
PAROXYSMAL EXTREME PAIN DISORDER,C1833661,MTH,pain,0
Genitourinary pain,C0423703,MTH,pain,0
Left lower quadrant pain,C0238551,SNOMEDCT_US,pain,4
Right lower quadrant pain,C0694551,SNOMEDCT_US,pain,1
Left upper quadrant pain,C0238552,SNOMEDCT_US,pain,2
Deep pain,C0234229,SNOMEDCT_US,pain,2
Umbilical pain,C0232504,SNOMEDCT_US,pain,0
Uncontrolled pain,C0747149,SNOMEDCT_US,pain,103
Injection site pain,C0151828,SNOMEDCT_US,pain,0
Congenital Pain Insensitivity,C0002768,MTH,pain,0
Sore to touch,C0234233,MTH,pain,0
Vertebrogenic Pain Syndrome,C0750949,MSH,pain,0
Polyarthralgia,C0162296,MTH,pain,2
Fracture pain,C3267038,SNOMEDCT_US,pain,0
Shoulder joint pain,C0423670,MTH,pain,0
Tiring with pain,C0578063,SNOMEDCT_US,pain,0
Increased pain,C5141269,SNOMEDCT_US,pain,43
Vulvovaginal pain,C0520588,SNOMEDCT_US,pain,0
Hypochondrial pain,C0476305,SNOMEDCT_US,pain,0
Anorectal pain,C0581362,SNOMEDCT_US,pain,0
Perianal pain,C0585134,SNOMEDCT_US,pain,1
Subcostal pain,C0423645,SNOMEDCT_US,pain,0
Pelvic Girdle Pain,C0240682,MTH,pain,0
Chronic intractable pain,C0476481,SNOMEDCT_US,pain,0
Hypochondriacal pain,C0338938,SNOMEDCT_US,pain,0
Pain of intercostal space,C0877023,SNOMEDCT_US,pain,0
Pain in female genitalia,C0423610,SNOMEDCT_US,pain,0
Preventing pain,C0558255,SNOMEDCT_US,pain,0
Response to pain finding,C0424543,MTH,pain,0
Complex regional pain syndrome of upper limb,C4040007,MTH,pain,0
Acute abdominal pain,C0740577,MTH,pain,12
Chronic abdominal pain,C0232491,SNOMEDCT_US,pain,3
Posterior auricular pain,C2316035,SNOMEDCT_US,pain,0
Superficial pain,C0234228,SNOMEDCT_US,pain,0
Pain Measurement,C0030198,MSH,pain,0
Chest pain on exertion,C0232288,SNOMEDCT_US,pain,1
Crushing chest pain,C0232290,SNOMEDCT_US,pain,0
Craniofacial Pain,C0751137,MSH,pain,0
Epididymal pain,C0239278,SNOMEDCT_US,pain,0
Chronic back pain,C0740418,SNOMEDCT_US,pain,39
Non-cardiac chest pain,C0476281,MTH,pain,0
Ulcer-type pain,C0522062,SNOMEDCT_US,pain,0
Sacral back pain,C0423686,SNOMEDCT_US,pain,0
Spontaneous pain,C1997216,SNOMEDCT_US,pain,0
Squeezing pain,C1997001,SNOMEDCT_US,pain,1
Pelvic and perineal pain,C0478659,SNOMEDCT_US,pain,0
Post-mastectomy pain,C0406845,SNOMEDCT_US,pain,0
Sickening with pain,C0578064,SNOMEDCT_US,pain,0
Intermittent pain,C1282310,SNOMEDCT_US,pain,18
Post-vasectomy pain,C0458105,SNOMEDCT_US,pain,0
Exquisite pain,C0278143,SNOMEDCT_US,pain,0
Postcordotomy pain,C0520964,SNOMEDCT_US,pain,0
Indifference to pain,C0234241,SNOMEDCT_US,pain,0
Cutting pain,C0423606,SNOMEDCT_US,pain,0
Heavy pain,C0458256,SNOMEDCT_US,pain,0
Minimizing pain,C0558256,SNOMEDCT_US,pain,0
Appendicular pain,C0554107,SNOMEDCT_US,pain,0
Nuchal pain,C0573983,SNOMEDCT_US,pain,0
Tightening pain,C0423604,SNOMEDCT_US,pain,0
Parasternal pain,C0423633,SNOMEDCT_US,pain,0
Pseudothalamic pain,C0423720,SNOMEDCT_US,pain,0
Delusional pain,C0394998,SNOMEDCT_US,pain,0
Griping pain,C0423605,SNOMEDCT_US,pain,0
McGill Pain Questionnaire,C0024985,MSH,pain,0
Responds to pain,C4083063,MTH,pain,0
Left Flank Pain,C0423641,MSH,pain,5
Right Flank Pain,C0423640,MSH,pain,18
Characteristic of pain,C1286315,SNOMEDCT_US,pain,2
Central pain syndrome,C1536114,SNOMEDCT_US,pain,0
Facet joint pain,C0423690,SNOMEDCT_US,pain,0
Pain in palate,C3532522,SNOMEDCT_US,pain,0
Thoracic back pain,C0423684,SNOMEDCT_US,pain,1
Consultation for pain,C1719974,SNOMEDCT_US,pain,0
Pattern of pain,C1286321,SNOMEDCT_US,pain,1
Foot joint pain,C0458239,SNOMEDCT_US,pain,0
Elbow joint pain,C0423669,SNOMEDCT_US,pain,0
Assessment of pain control,C1161170,MTH,pain,1
Radiating chest pain,C0232289,SNOMEDCT_US,pain,1
Freezing pain,C4509815,SNOMEDCT_US,pain,0
