NAME,CUI,VOCABULARY_SOURCE,DIAGNOSE,OCCURENCE
Pneumonia,C0032285,MTH,pneumonia,347
Pneumocystis jiroveci pneumonia,C1535939,MTH,pneumonia,0
Streptococcal pneumonia,C0155862,MTH,pneumonia,0
Aspiration Pneumonia,C0032290,MTH,pneumonia,55
"Pneumonia, Interstitial",C0206061,MTH,pneumonia,0
Mycoplasma pneumonia,C0032302,MTH,pneumonia,0
"Pneumonia, Viral",C0032310,MSH,pneumonia,0
Staphylococcal Pneumonia,C0032308,MTH,pneumonia,0
"Pneumonia, Bacterial",C0004626,MSH,pneumonia,0
Lobar Pneumonia,C0032300,MTH,pneumonia,0
Eosinophilic Pneumonia,C1527407,MTH,pneumonia,0
Cytomegaloviral pneumonia,C0276253,MTH,pneumonia,0
"Pneumonia, Lipid",C0032298,MTH,pneumonia,0
Legionnaires' Disease,C0023241,MTH,pneumonia,0
Chlamydial pneumonia,C0339959,MTH,pneumonia,0
Atypical pneumonia,C1412002,MTH,pneumonia,10
Bronchopneumonia,C0006285,MTH,pneumonia,0
Extrinsic allergic alveolitis,C0002390,MTH,pneumonia,0
Congenital pneumonia,C0158935,SNOMEDCT_US,pneumonia,0
Organizing Pneumonia,C0264383,MSH,pneumonia,0
Varicella pneumonia,C0339971,MTH,pneumonia,0
Lymphoid interstitial pneumonia,C0264511,MTH,pneumonia,0
Adenoviral pneumonia,C0276156,SNOMEDCT_US,pneumonia,0
Hypostatic pneumonia,C0264522,SNOMEDCT_US,pneumonia,0
Desquamative interstitial pneumonia,C0238378,MTH,pneumonia,0
Haemophilus influenzae pneumonia,C0276026,SNOMEDCT_US,pneumonia,0
Parainfluenza virus pneumonia,C0276333,SNOMEDCT_US,pneumonia,0
Fungal pneumonia,C0339961,SNOMEDCT_US,pneumonia,0
Recurrent pneumonia,C0694550,MTH,pneumonia,1
Pneumonia due to Pseudomonas,C0155860,SNOMEDCT_US,pneumonia,0
Bronchiolitis Obliterans Organizing Pneumonia,C0242770,MTH,pneumonia,0
Tuberculous pneumonia,C0275891,SNOMEDCT_US,pneumonia,0
Idiopathic Pulmonary Fibrosis,C1800706,MTH,pneumonia,4
"Pneumonia, Necrotizing",C0264515,MSH,pneumonia,0
Inhalational anthrax,C0155866,MTH,pneumonia,0
Cholesterol pneumonia,C0549472,MSH,pneumonia,0
Hospital acquired pneumonia,C0949083,MTH,pneumonia,1
"Pneumonia, Ventilator-Associated",C1701940,MSH,pneumonia,0
Salmonella pneumonia,C0152489,SNOMEDCT_US,pneumonia,0
Rheumatic pneumonia,C0152450,SNOMEDCT_US,pneumonia,0
Neonatal pneumonia,C0339968,SNOMEDCT_US,pneumonia,0
Anti-Glomerular Basement Membrane Disease,C0403529,MTH,pneumonia,0
Proteus pneumonia,C1260917,SNOMEDCT_US,pneumonia,0
Hemorrhagic pneumonia,C0339965,SNOMEDCT_US,pneumonia,0
Pneumonia in aspergillosis,C0155867,SNOMEDCT_US,pneumonia,0
Acute bronchiolitis,C0001311,SNOMEDCT_US,pneumonia,1
Pneumonia due to Escherichia coli,C0276089,SNOMEDCT_US,pneumonia,0
Pittsburgh pneumonia,C0317656,MTH,pneumonia,0
Postobstructive pneumonia,C0747690,SNOMEDCT_US,pneumonia,26
Ornithosis with pneumonia,C0153099,SNOMEDCT_US,pneumonia,0
Acute interstitial pneumonia,C1279945,MTH,pneumonia,0
Bilateral pneumonia,C1142578,SNOMEDCT_US,pneumonia,0
Enterobacter pneumonia,C1096258,SNOMEDCT_US,pneumonia,0
"Pneumonia, Rickettsial",C0032307,MSH,pneumonia,0
Unresolved pneumonia,C0264381,SNOMEDCT_US,pneumonia,0
Group B streptococcal pneumonia,C0348801,MTH,pneumonia,0
Basal pneumonia,C0577702,SNOMEDCT_US,pneumonia,0
Infective pneumonia,C0729704,SNOMEDCT_US,pneumonia,0
Traumatic pneumonia,C0340143,SNOMEDCT_US,pneumonia,0
Candidiasis of lung,C0153251,SNOMEDCT_US,pneumonia,0
Mycobacterial pneumonia,C0339967,SNOMEDCT_US,pneumonia,0
Pneumonia due to measles,C0339976,SNOMEDCT_US,pneumonia,0
Chronic pneumonia,C4039254,SNOMEDCT_US,pneumonia,0
Endogenous Lipid Pneumonia,C0264510,MSH,pneumonia,0
Gonococcal pneumonia,C2893395,SNOMEDCT_US,pneumonia,0
Rubella pneumonia,C2911579,SNOMEDCT_US,pneumonia,0
Exogenous lipoid pneumonia,C5441721,MTH,pneumonia,0
Granulomatous pneumonia,C0264384,SNOMEDCT_US,pneumonia,0
Peribronchial pneumonia,C0264377,SNOMEDCT_US,pneumonia,0
Achromobacter pneumonia,C0276071,SNOMEDCT_US,pneumonia,0
Nocardial pneumonia,C0339949,SNOMEDCT_US,pneumonia,0
Actinomycotic pneumonia,C0339955,SNOMEDCT_US,pneumonia,0
Meningococcal pneumonia,C0339957,SNOMEDCT_US,pneumonia,0
Lupus pneumonia,C0340142,SNOMEDCT_US,pneumonia,0
Leishmanial pneumonia,C0343782,SNOMEDCT_US,pneumonia,0
Pneumonia in typhoid fever,C0339956,SNOMEDCT_US,pneumonia,0
Catarrhal pneumonia,C0264380,SNOMEDCT_US,pneumonia,0
Nonspecific interstitial pneumonia,C1290344,MTH,pneumonia,0
Congenital staphylococcal pneumonia,C0343320,SNOMEDCT_US,pneumonia,0
Congenital pseudomonal pneumonia,C0343324,SNOMEDCT_US,pneumonia,0
Congenital chlamydial pneumonia,C0349359,SNOMEDCT_US,pneumonia,0
Infective pneumonia acquired prenatally,C0270151,SNOMEDCT_US,pneumonia,0
Non-infectious pneumonia,C0264376,SNOMEDCT_US,pneumonia,0
Cavitary pneumonia,C0747674,SNOMEDCT_US,pneumonia,0
Pulmonary tularemia,C0339946,SNOMEDCT_US,pneumonia,0
Focal pneumonia,C1290339,SNOMEDCT_US,pneumonia,0
Confluent pneumonia,C1290340,SNOMEDCT_US,pneumonia,0
Lingular pneumonia,C1960024,SNOMEDCT_US,pneumonia,0
Postoperative pneumonia,C1279386,SNOMEDCT_US,pneumonia,0
Murine pneumonia virus,C0206541,MSH,pneumonia,0
Post measles pneumonia,C1112452,SNOMEDCT_US,pneumonia,0
Acute eosinophilic pneumonia,C5235118,SNOMEDCT_US,pneumonia,0
Community acquired pneumonia,C0694549,SNOMEDCT_US,pneumonia,5
Pneumonia caused by Acinetobacter,C2063075,SNOMEDCT_US,pneumonia,0
Abscess of lung with pneumonia,C0348806,SNOMEDCT_US,pneumonia,0
H/O: pneumonia,C0455542,SNOMEDCT_US,pneumonia,0
Primary atypical pneumonia,C0702135,MTH,pneumonia,0
Pneumonia due to Gram negative bacteria,C0854248,SNOMEDCT_US,pneumonia,0
Recurrent aspiration pneumonia,C0747651,SNOMEDCT_US,pneumonia,0
Neonatal aspiration pneumonia,C0349497,SNOMEDCT_US,pneumonia,0
Idiopathic pneumonia syndrome,C1504431,MTH,pneumonia,0
Chronic interstitial pneumonia,C0221236,SNOMEDCT_US,pneumonia,0
